University of Illinois System - Investment Office,,,,,
Security Inventory,,,,,
By Fund Group,,,,,
"June 30, 2022",,,,,
,,,,,
,,Maturity,,,
PVTPL RABOBANK NEDERLAND GLOBA,3.88,09/26/23,"405,000.00","408,855.60","404,589.02"
PVTPL ROCHE HLDGS INC FLTG RTá,1.54,09/11/23,"3,689,000.00","3,689,000.00","3,671,187.33"
PVTPL ROCHE HLDGS INC ROCHE HO,1.35,03/05/24,"750,000.00","751,747.50","742,354.84"
PVTPL SIEMENS FINANCIERINGSMAA,0.40,03/11/23,"694,000.00","693,625.24","681,169.95"
PVTPL SOUTHERN NAT GAS CO L L ,0.63,04/28/23,"75,000.00","74,988.00","72,742.42"
PVTPL SUMITOMO MITSUI TR BK LT,1.64,09/16/24,"1,373,000.00","1,373,000.00","1,348,958.77"
PVTPL UBS AG LONDON .375% 06-0,0.38,06/01/23,"3,464,000.00","3,460,835.31","3,352,572.92"
PVTPL VOLKSWAGEN GROUP AMER FI,0.75,11/23/22,"298,000.00","297,853.98","295,603.36"
RABOBANK NEDERLAND NEW YORK BR,1.03,01/12/24,"1,085,000.00","1,085,000.00","1,078,385.81"
ROCKWELL AUTOMATION INC .35% D,0.35,08/15/23,"877,000.00","876,579.04","848,817.98"
ROPER INDS INC NEW 3.125% DUE,3.13,11/15/22,"847,000.00","879,869.41","847,051.68"
ROYAL BANK OF CANADA 1.95% DUE,1.95,01/17/23,"1,539,000.00","1,576,422.74","1,530,605.06"
ROYAL BANK OF CANADA FLTG RT M,1.27,10/26/23,"1,170,000.00","1,170,000.00","1,161,828.47"
ROYAL BK OF CANADA 1.6% 04-17-,1.60,04/17/23,"249,000.00","254,547.72","246,218.15"
SCHWAB CHARLES CORP FLTG ,1.96,03/18/24,"2,754,000.00","2,766,731.58","2,730,827.82"
SCHWAB CHARLES CORP NEW 2.65%,2.65,01/25/23,"1,258,000.00","1,276,983.22","1,254,494.17"
STANDARD CHARTERED PLC 1.3% DU,2.00,10/14/23,"1,208,000.00","1,220,394.08","1,208,025.40"
SUMITOMO MITSUI BANKING 3.95%,3.95,07/19/23,"1,250,000.00","1,337,300.00","1,255,180.96"
SUMITOMO MITSUI BKG SR NT 3.2%,3.20,07/18/22,"1,650,000.00","1,718,656.50","1,650,444.82"
SUMITOMO MITSUI FINANCIAL GROU,1.78,01/17/23,"802,000.00","809,100.11","800,658.31"
SUMITOMO MITSUI FINL GROUP INC,2.78,07/12/22,"1,387,000.00","1,424,784.05","1,387,055.70"
SUMITOMO MITSUI FINL GROUP INC,3.10,01/17/23,"225,000.00","233,849.25","224,910.50"
SUMITOMO MITSUI FINL GRP FLTG ,1.78,10/18/22,"228,000.00","229,740.10","228,025.93"
TAKE-TWO INTERACTIVE SOFTWARE ,3.30,03/28/24,"514,000.00","513,773.84","507,144.58"
THERMO FISHER SCIENTIFIC INC F,1.10,04/18/23,"3,515,000.00","3,515,000.00","3,499,363.91"
TORONTO DOMINION BANK ,1.33,01/27/23,"1,299,000.00","1,299,000.00","1,295,180.94"
TORONTO DOMINION BK SR MEDIUM ,0.75,06/12/23,"3,701,000.00","3,728,681.97","3,598,697.62"
TORONTO DOMINION BK SR MEDIUM ,0.25,01/06/23,"2,035,000.00","2,033,208.35","2,007,874.22"
TORONTO DOMINION BK SR MEDIUM ,0.95,01/06/23,"1,051,000.00","1,050,806.61","1,047,497.31"
TOYOTA MTR CORP 3.419% DUE 07-,3.42,07/20/23,"2,841,000.00","3,014,215.77","2,848,920.94"
TOYOTA MTR CR CORP MEDIUM TERM,2.70,01/11/23,"227,000.00","235,566.98","226,268.72"
TOYOTA MTR CR CORP MEDIUM TERM,0.45,07/22/22,"679,000.00","678,579.02","678,476.50"
TOYOTA MTR CR CORP MEDIUM TERM,0.35,10/14/22,"1,065,000.00","1,064,052.15","1,061,263.40"
TOYOTA MTR CR CORP MEDIUM TERM,1.06,01/11/24,"632,000.00","632,000.00","625,538.65"
TOYOTA MTR CR CORP MEDIUM TERM,0.40,04/06/23,"577,000.00","576,532.63","565,970.50"
TRANS-CDA PIPELINES ,2.50,08/01/22,"794,000.00","810,126.14","793,601.98"
TRUIST BK GLOBAL BK MED TERM N,0.95,01/17/24,"882,000.00","882,000.00","869,291.54"
UBS AG LONDON BRH NT FLTG RATE,1.39,08/09/24,"1,766,000.00","1,766,000.00","1,754,003.40"
UBS GROUP FDG SWITZ AG NT FLTG,2.36,08/15/23,"2,000,000.00","1,999,460.00","1,999,374.24"
UNITED PARCEL SVC INC 2.45% DU,2.45,10/01/22,"145,000.00","148,575.70","144,922.71"
WESTPAC BKG CORP 2.0% DUE 01-1,2.00,01/13/23,"72,000.00","73,785.60","71,637.73"
WESTPAC BKG CORP 2.75% DUE 01-,2.75,01/11/23,"2,497,000.00","2,589,713.61","2,492,680.54"
,,,,,
U.S. Treasury Securities,,,,,
UNITED STS TREAS NTS ,0.13,09/30/22,"18,300,000.00","18,300,000.00","18,223,830.64"
,,,,,
International Government Bonds,,,,,
EUROPEAN INVT BK FIXED 1.375%,1.38,09/06/22,"4,443,000.00","4,477,433.25","4,437,195.75"
FMS WERTMANAGEMENT 2.75% DUE 0,2.75,03/06/23,"2,000,000.00","2,014,820.00","1,998,572.00"
INTERNATIONAL BK FOR RECON & D,0.13,04/20/23,"2,700,000.00","2,694,816.00","2,642,239.36"
KREDITANSTALT FUR WIEDERAUFBAU,2.13,01/17/23,"4,700,000.00","4,711,280.00","4,685,862.17"
SWEDISH EXPT CR CORP FLTG ,1.96,05/25/23,"510,000.00","519,404.40","513,652.16"
,,,,,
Cash & Cash Equivalents,,,,,
NTC INST FUNDS-GOVT SELECT,0.01,,"92,874,333.32","92,874,333.32","92,874,333.32"
Account Totals - JP Morgan Managed Reserves ,,,,"476,119,084.81","469,459,436.20"
,,,,,
9-200100 Money Market Funds,,,,,
JPM US GOVT MMKT FD,0.00,,"853,045,891.63","853,045,891.63","853,045,891.63"
NORTHERN INSTL FDS US GOV SELECT WC ,0.00,,"100,000,000.00","100,000,000.00","100,000,000.00"
NTC INST FUNDS-GOVT SELECT MMF,0.00,,"103,307,152.33","103,307,152.33","103,307,152.33"
IL PUBLIC TREASURY INVEST POOL,0.00,,"7,361,814.31","7,361,814.31","7,361,814.31"
Account Totals,,,,"1,063,714,858.27","1,063,714,858.27"
,,,,,
Total Operating Funds Pool,,,,"3,191,180,675.15","3,120,548,644.34"
,,,,,
Separately Invested Current Funds,,,,,
,,,,,
1-508744 - NREC 2015-02539,,,,,
JP MORGAN - NREC 2015-02539,0.01,,"62,841.64","62,841.64","62,841.64"
,,,,,
1-5484251 - Walmart 109392,,,,,
JP MORGAN - Walmart 109392,0.01,,"1,000.46","1,000.46","1,000.46"
,,,,,
1-548443 - KFF 2022-02007,,,,,
JP MORGAN - KFF 2022-02007,0.01,,"700,020.06","700,020.06","700,020.06"
,,,,,
1-548457 - SVCF Open Philanthropy 108419,,,,,
JP MORGAN - SVCF Open Philanthropy 1,0.01,,"58,192.08","58,192.08","58,192.08"
,,,,,
1-548474 - WFF Cost Share AH226 USDA NRCS,,,,,
JP MORGAN - WFF Cost Share AH226 USD,0.01,,"57,501.65","57,501.65","57,501.65"
,,,,,
1-548552 - VentureWell 23893-21,,,,,
JP MORGAN - VentureWell 23893-21,0.01,,"5,007.29","5,007.29","5,007.29"
,,,,,
1-548571 - QFI SASA-0000000031,,,,,
JP MORGAN - QFI SASA-0000000031,0.01,,"33,275.77","33,275.77","33,275.77"
,,,,,
1-548572 - Mellon Fdn 2107-11009,,,,,
JP MORGAN - Mellon Fdn 2107-11009,0.01,,"563,411.55","563,411.55","563,411.55"
,,,,,
1-548573 - Hopewell Fund 016418-2022-01-11,,,,,
JP MORGAN - Hopewell Fund 016418-202,0.01,,"6,567.23","6,567.23","6,567.23"
,,,,,
,,,,,
1-548598 - GBMF 11069,,,,,
JP MORGAN - GBMF 11069,0.01,,"828,646.59","828,646.59","828,646.59"
,,,,,
1-548664 - Gates Fdn INV-035862 Cusick,,,,,
JP MORGAN - Gates Fdn INV-035862 Cus,0.01,,"493,917.73","493,917.73","493,917.73"
,,,,,
1-548683 - Augustine Fdn 106940,,,,,
JP MORGAN - Augustine Fdn 106940,0.01,,"60,110.70","60,110.70","60,110.70"
,,,,,
1-548687 - NREC 2022-3-360731-550,,,,,
JP MORGAN - NREC 2022-3-360731-550,0.01,,"56,169.72","56,169.72","56,169.72"
,,,,,
1-548688- NREC 2022-1-360350-404,,,,,
JP MORGAN - NREC 2022-1-360350-404,0.01,,"19,535.56","19,535.56","19,535.56"
,,,,,
1-548691- Gates Fdn GWU INV-005591,,,,,
JP MORGAN - Gates Fdn GWU INV-005591,0.01,,"98,091.12","98,091.12","98,091.12"
,,,,,
1-548699 - NREC 00672801 Antc,,,,,
JP MORGAN - NREC 00672801 Antc,0.01,,"98,654.70","98,654.70","98,654.70"
,,,,,
1-548750 - Whitehall Fdn 2021-08-025,,,,,
JP MORGAN - Whitehall Fdn 2021-08-02,0.01,,"2,141.85","2,141.85","2,141.85"
,,,,,
1-548830 - Brinson Fdn 105250,,,,,
JP MORGAN - Brinson Fdn 105250,0.01,,"115,672.78","115,672.78","115,672.78"
,,,,,
1-548831 - VentureWell 22879-21,,,,,
JP MORGAN - VentureWell 22879-21,0.01,,"5,942.54","5,942.54","5,942.54"
,,,,,
1-548834 - Motorola Fdn 105641,,,,,
JP MORGAN - Motorola Fdn 105641,0.01,,19.72,19.72,19.72
,,,,,
1-548839 - MacArthur Fdn 21-2105-155670-EQREC,,,,,
JP MORGAN - MacArthur Fdn 21-2105-15,0.01,,"453,067.99","453,067.99","453,067.99"
,,,,,
1-548905 - Mellon Fdn 2005-07921,,,,,
JP MORGAN - Mellon Fdn 2005-07921,0.01,,"530,712.01","530,712.01","530,712.01"
,,,,,
1-548910 - Arnold&Mabel Backman Fdn 104664,,,,,
JP MORGAN - Arnold&Mabel Backman Fdn,0.01,,"24,870.85","24,870.85","24,870.85"
,,,,,
1-548915 - LSST Corp 2021-20,,,,,
JP MORGAN - LSST Corp 2021-20,0.01,,78.22,78.22,78.22
,,,,,
1-548922 - Carnegie G-F-21-58382,,,,,
JP MORGAN - Carnegie G-F-21-58382,0.01,,"150,239.38","150,239.38","150,239.38"
,,,,,
1-548941 - Lumina Fdn 2102-1113647,,,,,
JP MORGAN - Lumina Fdn 2102-1113647,0.01,,"795,430.19","795,430.19","795,430.19"
,,,,,
1-548950 - NU Pivotal Ventures 104242,,,,,
JP MORGAN - NU Pivotal Ventures 1042,0.01,,"58,154.87","58,154.87","58,154.87"
,,,,,
1-548953 - FFAR CA20-SS-0000000137,,,,,
JP MORGAN - FFAR CA20-SS-0000000137,0.01,,"295,195.23","295,195.23","295,195.23"
,,,,,
1-548974 - CME Fdn 104575,,,,,
JP MORGAN - CME Fdn 104575,0.01,,"38,395.00","38,395.00","38,395.00"
,,,,,
1-549024 - Gates Ag One Inv-56121,,,,,
JP MORGAN - Gates Ag One Inv-56121,0.01,,"20,982.53","20,982.53","20,982.53"
,,,,,
,,,,,
1-549091 - Kellogg Fdn P0132741,,,,,
JP MORGAN - Kellogg Fdn P0132741,0.01,,"1,109.20","1,109.20","1,109.20"
,,,,,
1-549135 - Mellon Fdn 2007-08696,,,,,
JP MORGAN - Mellon Fdn 2007-08696,0.01,,"299,567.69","299,567.69","299,567.69"
,,,,,
1-549152 - Mellon Fdn 1809-06124,,,,,
JP MORGAN - Mellon Fdn 1809-06124,0.01,,"572,503.96","572,503.96","572,503.96"
,,,,,
1-549153 - DDCF 2020274,,,,,
JP MORGAN - DDCF 2020274,0.01,,"120,421.22","120,421.22","120,421.22"
,,,,,
1-549188 - NREC 2021-3-360350-221,,,,,
JP MORGAN - NREC 2021-3-360350-221,0.01,,"8,681.89","8,681.89","8,681.89"
,,,,,
1-549208- Rockefeller Fdn 2020 HTH 063,,,,,
JP MORGAN - Rockefeller Fdn 2020 HTH,0.01,,"1,180,218.50","1,180,218.50","1,180,218.50"
,,,,,
1-549212 - NREC 2021-4-360649-46,,,,,
JP MORGAN - NREC 2021-4-360649-46,0.01,,"103,340.74","103,340.74","103,340.74"
,,,,,
1-549233 - NREC 2021-2-360190-334,,,,,
JP MORGAN - NREC 2021-2-360190-334,0.01,,"140,762.21","140,762.21","140,762.21"
,,,,,
1-549234 - NREC 2021-3-360748-21,,,,,
JP MORGAN - NREC 2021-3-360748-21,0.01,,"50,293.55","50,293.55","50,293.55"
,,,,,
1-549238 - NREC 2021-4-360350-257,,,,,
JP MORGAN - NREC 2021-4-360350-257,0.01,,"91,744.73","91,744.73","91,744.73"
,,,,,
1-549241 - NREC 2021-4-360731-469,,,,,
JP MORGAN - NREC 2021-4-360731-469,0.01,,"185,519.95","185,519.95","185,519.95"
,,,,,
1-549273 - MRF REAM Fdn 101783,,,,,
JP MORGAN - MRF REAM Fdn 101783,0.01,,"146,418.33","146,418.33","146,418.33"
,,,,,
1-549292 - NREC CS USDA 2021-3-360498-144,,,,,
JP MORGAN - NREC CS USDA 2021-3-3604,0.01,,"82,879.46","82,879.46","82,879.46"
,,,,,
1-549320 - 413 GBMF 9732,,,,,
JP MORGAN - 413 GBMF 9732,0.01,,"295,037.39","295,037.39","295,037.39"
,,,,,
1-549399 - Kress Fdn 100081,,,,,
JP MORGAN - Kress Fdn 100081,0.01,,"5,512.18","5,512.18","5,512.18"
,,,,,
1-549405 - Mellon Fdn 1811-06306,,,,,
JP MORGAN - Mellon Fdn 1811-06306,0.01,,"4,248,962.48","4,248,962.48","4,248,962.48"
,,,,,
1-549409 - GBMF 9465,,,,,
JP MORGAN - GBMF 9465,0.01,,"432,937.10","432,937.10","432,937.10"
,,,,,
1-549416 - GBMF 9452,,,,,
JP MORGAN - GBMF 9452,0.01,,"232,402.95","232,402.95","232,402.95"
,,,,,
1-549427 - Kellogg Fdn P0132354,,,,,
JP MORGAN - KELLOGG FDN P0132354,0.01,,"149,911.69","149,911.69","149,911.69"
,,,,,
1-549453 - Tinker Fdn GTFRC-2019171492,,,,,
JP MORGAN - Tinker Fdn GTFRC-2019171,0.01,,"13,287.38","13,287.38","13,287.38"
,,,,,
1-549510 - Mellon Fdn 1905-06835,,,,,
JP MORGAN - Andrew Mellon ,0.01,,"92,727.99","92,727.99","92,727.99"
,,,,,
,,,,,
1-549542 - GBMF 9195 Whitaker,,,,,
JP MORGAN - GBMF 9195 Whitaker,0.01,,"559,120.13","559,120.13","559,120.13"
,,,,,
1-549605 - LSST Corp 096195,,,,,
JP MORGAN - LSST Corp 096195,0.01,,"27,124.77","27,124.77","27,124.77"
,,,,,
1-549617 - McCormick Fdn 098045,,,,,
JP MORGAN - McCormick Fdn 098045,0.01,,"76,568.82","76,568.82","76,568.82"
,,,,,
1-549639 - Mellon Fdn. 1905-06768,,,,,
JP MORGAN - Mellon Fdn 1905-06768,0.01,,"581,895.28","581,895.28","581,895.28"
,,,,,
1-549664 - GBMF 9123,,,,,
JP MORGAN - GBMF 9123,0.01,,"302,919.96","302,919.96","302,919.96"
,,,,,
1-549762 - Mellon Fdn 1811-06307,,,,,
JP MORGAN - MELLON FDN 1811-06307,0.01,,"1,898,620.44","1,898,620.44","1,898,620.44"
,,,,,
1-549806- Mellon Fdn 1905-06769,,,,,
JP MORGAN - Mellon Fdn 1905-06769,0.01,,"47,617.81","47,617.81","47,617.81"
,,,,,
1-549818 - FIT Taiwan MRA 097343,,,,,
JP MORGAN - FIT Taiwan MRA 097343,0.01,,"7,864,475.73","7,864,475.73","7,864,475.73"
,,,,,
1-549825 - GBMF 8691,,,,,
JP MORGAN - GBMF 8691,0.01,,"242,276.31","242,276.31","242,276.31"
,,,,,
1-549843 - Carnegie G-F-19-56908,,,,,
JP MORGAN - Carnegie G-F-19-56908,0.01,,"92,877.55","92,877.55","92,877.55"
,,,,,
1-549855 - NA Ed Spencer Fellow 096044,,,,,
JP MORGAN - NA Ed Spencer Fell 09604,0.01,,"1,890.23","1,890.23","1,890.23"
,,,,,
1-549972 - Getty Fdn R-ORG-2019-43629,,,,,
JP MORGAN - Getty FDN R-ORG-2019-436,0.01,,"65,193.57","65,193.57","65,193.57"
,,,,,
1-550065 - Univ.Cambridge U.K.Gates Fdn. RG,,,,,
JP MORGAN - Univ.Cambridge UK Gates,0.01,,"157,710.77","157,710.77","157,710.77"
,,,,,
1-550131 - MacArthur Fdn 18-1802-152800,,,,,
JP MORGAN - MACARTHUR FDN 18-1802,0.01,,"31,691.77","31,691.77","31,691.77"
,,,,,
1-550144- FFAR Gates 602757,,,,,
JP MORGAN - FFAR Gates 602757,0.01,,"1,781,458.78","1,781,458.78","1,781,458.78"
,,,,,
1-550146 - Mellon Fdn 1811-06345,,,,,
JP MORGAN - MELLON FDN 1811-06345,0.01,,"333,109.82","333,109.82","333,109.82"
,,,,,
1-550149 - NREC 2019-3 360267-438,,,,,
JP MORGAN - NREC 2019-3-360267-438,0.01,,"5,637.82","5,637.82","5,637.82"
,,,,,
1-550150 - NREC 2019-3 360350-103,,,,,
JP MORGAN - NREC 2019-3-360350-103,0.01,,"108,967.20","108,967.20","108,967.20"
,,,,,
1-550151 - NREC 2019-4-360232-925,,,,,
JP MORGAN - NREC 2019-4-360232-925,0.01,,"143,282.01","143,282.01","143,282.01"
,,,,,
1-550155 - NREC 2019-4-360624-286,,,,,
JP MORGAN - NREC 2019-4-360624-286,0.01,,"174,200.88","174,200.88","174,200.88"
,,,,,
1-550171 - Mellon Fdn 1710-05057,,,,,
JP MORGAN - MELLON FDN 1710-05057,0.01,,"251,140.39","251,140.39","251,140.39"
,,,,,
,,,,,
1-550296 - Whitehall Fdn 2017-08-31,,,,,
JP MORGAN - WHITEHALL FDN 2017-08-31,0.01,,"62,407.41","62,407.41","62,407.41"
,,,,,
1-550651 - Tinker Fdn 090048,,,,,
JP MORGAN - TINKER FDN 090048,0.01,,"4,071.39","4,071.39","4,071.39"
,,,,,
1-550667 - NREC 090273,,,,,
JP MORGAN - NREC 090273,0.01,,"204,558.54","204,558.54","204,558.54"
,,,,,
1-550725 - NREC.090276,,,,,
JP MORGAN - NREC 090276,0.01,,"82,308.48","82,308.48","82,308.48"
,,,,,
1-550738 - NREC 090270,,,,,
JP MORGAN - NREC 090270,0.01,,"67,596.56","67,596.56","67,596.56"
,,,,,
1-550739 - NREC 090271,,,,,
JP MORGAN - NREC 090271,0.01,,"34,729.89","34,729.89","34,729.89"
,,,,,
1-550789 - FFAR 534256,,,,,
JP MORGAN - FFAR 534256,0.01,,"3,008.85","3,008.85","3,008.85"
,,,,,
1-551021 - Gates Fdn OPP 1172157,,,,,
JP MORGAN - GATES FND OPP 1172157,0.01,,"8,141,235.94","8,141,235.94","8,141,235.94"
,,,,,
1-551170 - NREC 086306,,,,,
JP MORGAN - NREC 086306,0.01,,"28,135.79","28,135.79","28,135.79"
,,,,,
1-551246 - NREC 00318176 Antc.,,,,,
JP MORGAN - NREC 003818176 Antc.,0.01,,62.88,62.88,62.88
,,,,,
1-551715 - NREC 2016-01781,,,,,
JP MORGAN - NREC 2016-01781,0.01,,"137,648.05","137,648.05","137,648.05"
,,,,,
1-551821 - Mellon Fdn 41500610,,,,,
JP MORGAN - MELLON FDN 41500610,0.01,,"847,754.36","847,754.36","847,754.36"
,,,,,
1-552383 - Mellon Fdn Fellow 41400663,,,,,
JP MORGAN - MELLON FDN 41400663,0.01,,"126,252.45","126,252.45","126,252.45"
,,,,,
1-552450 - GBMF 4561,,,,,
JP MORGAN - GBMF 4561,0.01,,"3,617.54","3,617.54","3,617.54"
,,,,,
1-552900 - Mellon Fdn 41300698,,,,,
JP MORGAN - MELLON FDN 41300698,0.01,,"98,188.58","98,188.58","98,188.58"
,,,,,
1-593302 - IAC 2022-0034360,,,,,
JP MORGAN - IAC 2022-0034360,0.01,,4.92,4.92,4.92
,,,,,
1-593308 - IAC 2022-0031676,,,,,
JP MORGAN - IAC 2022-0031676,0.01,,2.64,2.64,2.64
,,,,,
1-593309 - IAC 2022-0031672,,,,,
JP MORGAN - IAC 2022-0031672,0.01,,2.63,2.63,2.63
,,,,,
1-593315 - IAC 2022-0031435,,,,,
JP MORGAN - IAC 2022-0031435,0.01,,48.01,48.01,48.01
,,,,,
1-593318 - IAC 2022-0031291,,,,,
JP MORGAN - IAC 2022-0031291,0.01,,"12,366.92","12,366.92","12,366.92"
,,,,,
1-593319 - IAC 2022-0030724,,,,,
JP MORGAN - IAC 2022-0030724,0.01,,"4,390.09","4,390.09","4,390.09"
,,,,,
,,,,,
1-593320 - IDOA 21-455 FY22 - PSC,,,,,
JP MORGAN - IDOA 21-455 FY22 - PSC,0.01,,"239,373.85","239,373.85","239,373.85"
,,,,,
1-593323 -  IAC 2022-0030768,,,,,
JP MORGAN - IAC 2022-0030768,0.01,,"4,107.48","4,107.48","4,107.48"
,,,,,
1-593324 - IAC 2022-0031160,,,,,
JP MORGAN - IAC 2022-0031160,0.01,,"6,990.96","6,990.96","6,990.96"
,,,,,
1-593917 - IDOT Airport CMI - 4703,,,,,
JP MORGAN - IDOT Airport CMI 4703,0.01,,"1,110.47","1,110.47","1,110.47"
,,,,,
1-621214 - Lesemann Scholarship/Loan,,,,,
LESEMANN OIL LEASES,,,1.00,1.00,1.00
,,,,,
1-303408 - Cozad Sponsorships,,,,,
EQUABILITY LLC - COZAD,,,"1,000.00","1,000.00","1,000.00"
NATRION LLC - COZAD,,,"1,000.00","1,000.00","1,000.00"
SIMPLY AI LLC - COZAD,,,"1,000.00","1,000.00","1,000.00"
Account Totals,,,,"3,000.00","3,000.00"
,,,,,
1-623330 - Cozad Bus Plan Competition Fund,,,,,
GRAYKEA INC - COZAD,,,"1,000.00","1,000.00","1,000.00"
REVERY ai LLC - COZAD,,,"1,000.00","1,000.00","1,000.00"
Account Totals,,,,"2,000.00","2,000.00"
,,,,,
1-636934 - City Scholars Program,,,,,
COZAD NVC DEEPWALK RESEARCH,,,"1,000.00","1,000.00","1,000.00"
HEXNEST LLC - COZAD,,,"1,000.00","1,000.00","1,000.00"
"TEENEZ, LLC ",,,"1,000.00","1,000.00","1,000.00"
Account Totals,,,,"3,000.00","3,000.00"
,,,,,
1-801117 - Strong Foundation,,,,,
JP MORGAN - STRONG FOUNDATION,0.01,,"84,772.16","84,772.16","84,772.16"
,,,,,
1-801188 - Brackenberry Loan Fund,,,,,
BRACKENBURY LAND LEASE,,,1.00,1.00,1.00
,,,,,
1-201021 - Terminal Benefits,,,,,
JP MORGAN - TERMINAL BENEFIT,0.01,,"2,673,467.13","2,673,467.13","2,673,467.13"
,,,,,
2-201019 - Terminal Benefits,,,,,
JP MORGAN - TERMINAL BENEFIT,0.01,,"4,340,585.20","4,340,585.20","4,340,585.20"
,,,,,
2-550819 - Bloomberg Fn 2020-85774,,,,,
JP MORGAN - Bloomberg Fn 2020-85774,0.01,,"618,727.19","618,727.19","618,727.19"
,,,,,
2-550658 - Andrew Mellon 2101-10104,,,,,
JP MORGAN - Andrew Mellon 2101-10104,0.01,,"2,322,960.64","2,322,960.64","2,322,960.64"
,,,,,
4-201012 - Termination Sick Leave/Vacation,,,,,
JP MORGAN - UIS TERMINAL BENEFIT,0.01,,"10,136.13","10,136.13","10,136.13"
,,,,,
2-552473 - BLOOMBERG FOUNDATION,,,,,
JP MORGAN - BLOOMBERG FOUNDATION,0.01,,"4,478,184.88","4,478,184.88","4,478,184.88"
,,,,,
9-201001 - Various Donors President,,,,,
HUTCHESON MINERAL INTEREST,,,1.00,1.00,1.00
,,,,,
9-301167 - Farm Stocks,,,,,
FARM STOCKS,,,"17,146.00","17,146.00","17,146.00"
,,,,,
,,,,,
B 52021 - 9-200200 - Equity in SHIELD T3,,,,,
Equity in SHIELD T3,,,"500,000.00","500,000.00","500,000.00"
Equity in SHIELD T3,,,"500,000.00","500,000.00","500,000.00"
Account Totals,,,,"1,000,000.00","1,000,000.00"
,,,,,
9-200258 - TMO Stocks,,,,,
ACTUATE THERAPEUTICS INC,,,"83,750.00","2,000.00","2,000.00"
ATHENAGEN INC,,,"137,235.00","1,000.00","1,000.00"
BRIGHT MINDS BIOSCIENCES INC,,,"63,000.00","1,000.00","51,609.60"
CDG THERAPEUTICS INC COM,,,"400,000.00","1,000.00","1,000.00"
COMENTIS INC COM STK,,,"137,235.00","1,000.00","1,000.00"
ECHO DYNAMICS,,,"8,920.00",1.00,1.00
FLUENSEE INC COM STK,,,"1,000.00","1,000.00","1,000.00"
IASO BIOTECHNOLOGY INC COM,,,"50,000.00","1,000.00","1,000.00"
"KEYWISE, INC",,,"390,093.00","1,000.00","1,000.00"
NATCO DRUG DISCOVERY COM,,,3.00,"1,000.00","1,000.00"
NEXHAND INC COM,,,527.00,"1,000.00","1,000.00"
OPINION EQ INC COM,,,80.00,"1,000.00","1,000.00"
ORTHO SENSING TECH INC COM,,,"11,112.00","1,000.00","1,000.00"
PVTPL CAPIO BIOSCIENCES INC COM STK,,,"155,789.00","1,000.00","1,000.00"
PVTPL JIVANA BIOTECHNOLOGY INC COM S,,,"566,894.00","2,000.00","2,000.00"
PVTPL LAUREL THERAPEUTICS INC COM ST,,,"116,905.00","1,000.00","1,000.00"
PVTPL REMEDYON INC COM STK,,,"150,000.00","1,000.00","1,000.00"
PVTPL REMOTE VITAL MONITORING INC CO,,,100.00,"1,000.00","1,000.00"
PVTPL RETMAP INC. COMMON STOCK,,,52.60,"1,000.00","1,000.00"
PVTPL REVIVO THERAPEUTICS INC. COMMO,,,"630,000.00","1,000.00","1,000.00"
PVTPL THERMAL CONSERVATION COM STK,,,"1,000.00","1,000.00","1,000.00"
PVTPL VADIZA INC COM STK,,,"25,000.00","1,000.00","1,000.00"
RESPIRERX PHARMACEUTICALS INC,,,"338,580.00","1,000.00","1,000.00"
SENEX BIOTECHNOLOGY INC COM,,,"216,177.00","2,161.77","2,162.00"
SHAKTI SYSTEMS INC,,,"179,761.00",1.00,1.00
"STARTIS, INC",,,21.12,1.00,1.00
TOLEROGENICS INC COM STK,,,"134,483.00","2,000.00","2,000.00"
AINOS INC COM,,,"1,389.00","7,700.01",402.12
ANIGENICS INC COM,,,"109,290.00",1.00,1.00
APTIMMUNE BIOLOGICS INC,,,911.00,"3,000.00","3,000.00"
AUTONOMIC MATERIALS INC,,,"383,000.00","1,000.00","1,000.00"
CAZOODLE INC COM,,,"300,000.00","1,000.00","1,000.00"
CBANA LABS INC COM STK,,,"88,500.00","1,000.00","1,000.00"
CHEMSENSING INC COM,,,"150,000.00","178,499.93","1,000.00"
CLEANMAKE INC COM STK,,,"538,888.00","1,000.00","1,000.00"
DIAGNOSTIC PHOTONICS COM,,,"120,361.00","2,000.00","2,000.00"
DZYMETECH INC COM STK,,,"100,000.00","1,000.00","1,000.00"
FBC SYSTEMS INC,,,"421,053.00","1,000.00","1,000.00"
INCEPT BIOSYSTEMS INC COM,,,800.00,"1,000.00","1,000.00"
INSTARECON INC COM STK,,,"833,333.00","1,000.00","1,000.00"
KIM LAB INC,,,"50,000.00","1,000.00","1,000.00"
LASERSCUBED INC COM,,,250.00,1.00,1.00
MC10 INC COM,,,"169,343.00","2,000.00","2,000.00"
NANODISC INC,,,"539,455.00","2,000.00","2,000.00"
NANOINK INC COM,,,"65,000.00","2,000.00",1.00
NUVIXA INC COM,,,"54,395.00","1,000.00","1,000.00"
PROTASIS CORPORATION COM,,,"26,333.00","1,000.00","1,000.00"
PVTPL CHARMWORKS INC CL A COM STK,,,"210,526.00","1,000.00","1,000.00"
PVTPL EARTHSENSE INC COMSTK,,,"6,580.00","1,000.00","1,000.00"
PVTPL ELECTROCYT INC COM STK,,,"10,000.00","1,000.00","1,000.00"
PVTPL ELECTRONINKS COM STK,,,"61,856.00","1,000.00","1,000.00"
